[2024-06-25T13:00:01.581+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-25T13:00:01.592+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: windturbine.file_sensor_task scheduled__2024-06-25T12:57:00+00:00 [queued]>
[2024-06-25T13:00:01.595+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: windturbine.file_sensor_task scheduled__2024-06-25T12:57:00+00:00 [queued]>
[2024-06-25T13:00:01.596+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-06-25T13:00:01.602+0000] {taskinstance.py:2330} INFO - Executing <Task(FileSensor): file_sensor_task> on 2024-06-25 12:57:00+00:00
[2024-06-25T13:00:01.606+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1326) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-25T13:00:01.607+0000] {standard_task_runner.py:63} INFO - Started process 1328 to run task
[2024-06-25T13:00:01.607+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'windturbine', 'file_sensor_task', 'scheduled__2024-06-25T12:57:00+00:00', '--job-id', '497', '--raw', '--subdir', 'DAGS_FOLDER/windturbine.py', '--cfg-path', '/tmp/tmpyufsldmp']
[2024-06-25T13:00:01.609+0000] {standard_task_runner.py:91} INFO - Job 497: Subtask file_sensor_task
[2024-06-25T13:00:01.635+0000] {task_command.py:426} INFO - Running <TaskInstance: windturbine.file_sensor_task scheduled__2024-06-25T12:57:00+00:00 [running]> on host 8f35bebe2893
[2024-06-25T13:00:01.679+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='liviataina.ltab@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='windturbine' AIRFLOW_CTX_TASK_ID='file_sensor_task' AIRFLOW_CTX_EXECUTION_DATE='2024-06-25T12:57:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-25T12:57:00+00:00'
[2024-06-25T13:00:01.679+0000] {taskinstance.py:430} INFO - ::endgroup::
